;4.75;5.25;5.75;6.25;6.75;7.25;7.75;8.25;8.75;9.25;9.75;10.25;10.75;11.25;11.75;12.25;12.75;13.25;13.75;14.25
13.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01
12.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02;0.0
12.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0
11.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.01;0.0;0.0
10.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.02;0.01;0.0
10.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02;0.03;0.0;0.0;0.0
9.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.01;0.0;0.0;0.02
8.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.02;0.0;0.01;0.01;0.02
8.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.02;0.0;0.02;0.02;0.01;0.01
7.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.01;0.0;0.02;0.03;0.05;0.01;0.01;0.0
7.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02;0.02;0.05;0.05;0.02;0.0;0.01
6.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.02;0.04;0.09;0.09;0.06;0.02;0.01;0.01
6.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.04;0.09;0.13;0.11;0.09;0.01;0.02;0.02;0.01
5.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02;0.02;0.07;0.14;0.14;0.12;0.03;0.02;0.02;0.0;0.0
5.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02;0.07;0.14;0.24;0.21;0.14;0.11;0.03;0.02;0.0;0.0;0.0
4.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06;0.11;0.28;0.34;0.35;0.31;0.22;0.14;0.05;0.02;0.0;0.0;0.0
4.25;0.0;0.0;0.0;0.0;0.0;0.01;0.08;0.12;0.52;0.6;0.72;0.47;0.27;0.2;0.12;0.08;0.0;0.0;0.0;0.0
3.75;0.0;0.0;0.0;0.0;0.0;0.04;0.16;0.5;0.83;0.95;0.86;0.55;0.52;0.37;0.1;0.03;0.0;0.05;0.01;0.01
3.25;0.0;0.0;0.0;0.0;0.07;0.11;0.52;0.89;1.49;2.06;1.57;1.05;0.68;0.51;0.34;0.1;0.08;0.05;0.0;0.0
2.75;0.0;0.0;0.0;0.09;0.21;0.74;1.15;2.14;2.61;2.58;1.58;1.14;0.9;0.56;0.39;0.26;0.09;0.1;0.02;0.01
2.25;0.0;0.01;0.02;0.17;0.57;1.71;2.03;2.15;2.42;1.87;1.53;1.18;0.68;0.36;0.21;0.14;0.15;0.13;0.09;0.03
1.75;0.0;0.11;0.67;1.08;1.74;1.93;2.81;3.43;3.71;2.68;1.79;1.15;0.49;0.2;0.17;0.1;0.03;0.02;0.0;0.01
1.25;0.02;0.46;1.34;0.92;1.5;2.18;2.38;3.12;2.25;2.27;1.74;1.02;0.55;0.2;0.03;0.05;0.05;0.0;0.0;0.0
0.75;0.09;0.14;0.55;0.3;0.71;0.95;0.79;0.49;0.33;0.4;0.14;0.06;0.03;0.02;0.0;0.0;0.0;0.0;0.0;0.0
0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
